,Date,Price,Open,High,Low,Vol
0,"Aug 22, 2019",10.65,10.65,10.70,10.60,39.80K
1,"Aug 21, 2019",10.65,10.70,10.70,10.60,757.60K
2,"Aug 20, 2019",10.65,10.70,10.75,10.60,58.00K
3,"Aug 19, 2019",10.75,10.75,10.80,10.65,736.20K
4,"Aug 16, 2019",10.75,10.75,10.80,10.70,2.65M
5,"Aug 15, 2019",10.75,10.70,10.80,10.70,190.30K
6,"Aug 14, 2019",10.60,10.80,10.80,10.60,289.60K
7,"Aug 13, 2019",10.65,10.50,10.80,10.50,119.80K
8,"Aug 09, 2019",10.65,10.70,10.75,10.50,354.90K
9,"Aug 08, 2019",10.75,10.75,10.85,10.65,168.30K
10,"Aug 07, 2019",10.65,10.80,10.90,10.60,102.30K
11,"Aug 06, 2019",10.65,10.80,10.80,10.60,113.50K
12,"Aug 05, 2019",10.70,10.80,10.80,10.60,102.40K
13,"Aug 02, 2019",10.70,10.85,10.85,10.65,517.40K
14,"Aug 01, 2019",10.60,10.60,10.70,10.60,56.40K
15,"Jul 31, 2019",10.65,10.60,10.80,10.55,68.00K
16,"Jul 30, 2019",10.55,10.50,10.80,10.50,64.80K
17,"Jul 29, 2019",10.50,10.85,10.85,10.50,93.90K
18,"Jul 26, 2019",10.45,10.35,10.95,10.35,48.80K
19,"Jul 25, 2019",10.40,10.45,10.50,10.35,520.30K
20,"Jul 24, 2019",10.35,10.40,10.40,10.35,116.00K
21,"Jul 23, 2019",10.30,10.35,10.40,10.25,15.50M
22,"Jul 22, 2019",10.30,10.40,10.40,10.25,354.20K
23,"Jul 19, 2019",10.30,10.35,10.35,10.30,105.60K
24,"Jul 18, 2019",10.30,10.50,10.50,10.25,1.13M
25,"Jul 17, 2019",10.35,11.00,11.00,10.30,97.80K
26,"Jul 16, 2019",10.30,10.25,10.50,10.25,591.60K
27,"Jul 15, 2019",10.25,10.25,10.50,10.25,72.70K
28,"Jul 12, 2019",10.30,10.40,10.40,10.25,47.40K
29,"Jul 11, 2019",10.35,10.35,10.40,10.30,310.40K
30,"Jul 10, 2019",10.30,10.35,10.35,10.30,289.60K
31,"Jul 09, 2019",10.25,10.35,10.40,10.25,117.40K
32,"Jul 08, 2019",10.25,10.50,10.50,10.25,217.40K
33,"Jul 05, 2019",10.30,10.40,10.50,10.30,49.90K
34,"Jul 04, 2019",10.20,10.35,10.40,10.20,10.14M
35,"Jul 03, 2019",10.35,10.35,10.40,10.30,274.00K
36,"Jul 02, 2019",10.35,10.40,10.50,10.30,186.40K
37,"Jul 01, 2019",10.40,10.35,10.50,10.35,79.30K
38,"Jun 28, 2019",10.45,10.45,10.50,10.35,340.20K
39,"Jun 27, 2019",10.40,10.45,10.45,10.35,1.54M
40,"Jun 26, 2019",10.35,10.45,10.45,10.30,216.90K
41,"Jun 25, 2019",10.40,10.40,10.45,10.35,1.85M
42,"Jun 24, 2019",10.35,10.40,10.40,10.35,233.00K
43,"Jun 21, 2019",10.40,10.50,10.50,10.35,61.10K
44,"Jun 20, 2019",10.40,10.45,10.50,10.35,322.90K
45,"Jun 19, 2019",10.40,10.50,10.50,10.30,2.18M
46,"Jun 18, 2019",10.35,10.50,10.50,10.30,1.32M
47,"Jun 17, 2019",10.30,10.35,10.40,10.25,139.70K
48,"Jun 14, 2019",10.35,11.00,11.00,10.25,430.40K
49,"Jun 13, 2019",10.25,10.70,10.70,10.25,235.20K
50,"Jun 12, 2019",10.30,10.50,10.50,10.25,1.21M
51,"Jun 11, 2019",10.40,10.35,10.50,10.30,1.37M
52,"Jun 10, 2019",10.30,10.35,10.35,10.25,1.87M
53,"Jun 07, 2019",10.40,10.45,10.45,10.35,117.90K
54,"Jun 06, 2019",10.40,10.50,10.50,10.30,1.28M
55,"Jun 04, 2019",10.35,10.50,10.50,10.30,67.80K
56,"Jun 03, 2019",10.30,10.30,10.40,10.25,219.70K
57,"May 31, 2019",10.25,10.25,10.50,10.20,154.10K
58,"May 30, 2019",10.30,10.45,10.45,10.25,2.28M
59,"May 29, 2019",10.40,10.40,10.55,10.30,621.40K
60,"May 28, 2019",10.40,10.40,10.50,10.35,310.80K
61,"May 27, 2019",10.40,10.50,10.55,10.30,56.80K
62,"May 24, 2019",10.35,10.30,10.45,10.30,135.70K
63,"May 23, 2019",10.30,10.45,10.55,10.30,129.20K
64,"May 22, 2019",10.45,10.50,10.70,10.05,538.00K
65,"May 21, 2019",10.15,10.60,10.60,10.05,89.50K
66,"May 20, 2019",10.45,10.20,10.55,10.05,2.67M
67,"May 17, 2019",10.50,10.60,10.65,10.50,350.10K
68,"May 16, 2019",10.55,10.60,10.65,10.50,109.20K
69,"May 15, 2019",10.60,10.65,10.70,10.60,313.90K
70,"May 14, 2019",10.65,10.75,10.75,10.60,6.73M
71,"May 13, 2019",10.65,10.75,10.75,10.60,51.10K
72,"May 10, 2019",10.65,10.80,10.80,10.65,202.30K
73,"May 09, 2019",10.75,10.70,10.95,10.65,934.40K
74,"May 08, 2019",10.70,11.00,11.00,10.65,589.70K
75,"May 07, 2019",10.70,10.70,10.75,10.60,127.90K
76,"May 06, 2019",10.55,10.50,10.70,10.50,120.50K
77,"May 03, 2019",10.55,10.70,10.70,10.50,298.20K
78,"May 02, 2019",10.50,11.90,11.90,10.25,365.70K
79,"Apr 30, 2019",12.00,11.95,12.15,11.90,1.86M
80,"Apr 29, 2019",11.90,12.30,12.30,11.80,340.60K
81,"Apr 26, 2019",11.95,11.95,12.00,11.90,366.60K
82,"Apr 25, 2019",11.90,11.95,12.00,11.80,225.60K
83,"Apr 24, 2019",12.00,12.00,12.05,11.95,2.08M
84,"Apr 23, 2019",11.90,12.00,12.10,11.55,200.80K
85,"Apr 18, 2019",11.95,12.10,12.10,11.80,408.50K
86,"Apr 17, 2019",12.00,12.05,12.10,12.00,153.70K
87,"Apr 16, 2019",12.00,12.00,12.20,12.00,374.10K
88,"Apr 15, 2019",12.00,12.00,12.05,12.00,116.90K
89,"Apr 12, 2019",12.05,12.30,12.30,12.00,113.90K
90,"Apr 11, 2019",12.05,12.10,12.40,12.00,464.90K
91,"Apr 10, 2019",12.10,12.00,12.45,12.00,255.90K
92,"Apr 09, 2019",12.00,12.05,12.30,12.00,98.30K
93,"Apr 08, 2019",12.00,12.00,12.50,11.95,1.18M
94,"Apr 05, 2019",11.95,11.95,12.00,11.95,145.20K
95,"Apr 04, 2019",11.90,11.90,12.00,11.90,739.00K
96,"Apr 03, 2019",11.85,12.00,12.00,11.85,286.20K
97,"Apr 02, 2019",11.90,11.90,11.90,11.85,688.60K
98,"Mar 29, 2019",11.80,11.75,11.90,11.70,158.10K
99,"Mar 28, 2019",11.75,11.90,11.90,11.70,234.10K
100,"Mar 27, 2019",11.85,12.00,12.00,11.80,403.80K
101,"Mar 26, 2019",11.85,11.95,12.00,11.80,429.00K
102,"Mar 25, 2019",11.85,12.00,12.00,11.80,133.50K
103,"Mar 22, 2019",11.95,11.90,12.00,11.85,3.92M
104,"Mar 21, 2019",11.90,11.90,11.95,11.85,105.40K
105,"Mar 20, 2019",11.90,11.90,12.00,11.80,638.80K
106,"Mar 19, 2019",11.90,11.95,12.00,11.85,2.12M
107,"Mar 18, 2019",11.90,11.85,11.95,11.85,371.70K
108,"Mar 15, 2019",11.85,11.75,11.95,11.75,383.00K
109,"Mar 14, 2019",11.85,11.85,11.85,11.70,3.80M
110,"Mar 13, 2019",11.80,11.85,11.85,11.70,182.30K
111,"Mar 12, 2019",11.80,11.80,11.90,11.70,164.70K
112,"Mar 11, 2019",11.70,11.55,11.90,11.40,186.60K
