,Date,Price,Open,High,Low,Vol
0,"Aug 21, 2019",29.10,29.30,29.35,28.95,4.23M
1,"Aug 20, 2019",29.30,29.90,29.90,28.95,33.72M
2,"Aug 19, 2019",29.45,29.30,29.55,29.00,13.62M
3,"Aug 16, 2019",29.20,28.75,29.60,28.65,23.35M
4,"Aug 15, 2019",28.50,28.55,28.75,27.70,11.50M
5,"Aug 14, 2019",28.00,27.65,28.15,27.65,6.58M
6,"Aug 13, 2019",27.90,27.65,28.15,27.50,4.05M
7,"Aug 09, 2019",27.65,27.30,28.00,27.20,10.39M
8,"Aug 08, 2019",27.30,27.05,27.50,27.05,2.83M
9,"Aug 07, 2019",27.20,27.50,27.50,27.00,6.14M
10,"Aug 06, 2019",27.45,27.60,27.60,27.30,3.60M
11,"Aug 05, 2019",27.60,27.65,27.65,27.50,1.62M
12,"Aug 02, 2019",27.60,28.00,28.00,27.50,1.66M
13,"Aug 01, 2019",27.55,27.50,28.00,27.50,2.42M
14,"Jul 31, 2019",27.40,27.50,27.55,27.25,10.86M
15,"Jul 30, 2019",27.45,27.60,27.60,27.40,6.60M
16,"Jul 29, 2019",27.55,27.55,27.75,27.50,898.60K
17,"Jul 26, 2019",27.60,27.80,27.80,27.50,5.65M
18,"Jul 25, 2019",27.50,27.70,27.95,27.35,12.02M
19,"Jul 24, 2019",27.50,27.50,27.80,27.35,7.56M
20,"Jul 23, 2019",27.25,28.00,28.00,27.20,6.86M
21,"Jul 22, 2019",27.80,28.00,28.00,27.50,3.41M
22,"Jul 19, 2019",27.85,27.65,28.00,27.65,1.88M
23,"Jul 18, 2019",27.75,28.00,28.00,27.50,9.86M
24,"Jul 17, 2019",27.95,27.50,28.05,27.50,8.95M
25,"Jul 16, 2019",27.70,27.50,28.00,27.30,3.40M
26,"Jul 15, 2019",27.50,27.75,27.75,27.25,2.83M
27,"Jul 12, 2019",27.75,27.75,28.10,27.50,3.07M
28,"Jul 11, 2019",27.45,27.15,27.80,27.15,594.90K
29,"Jul 10, 2019",27.50,27.50,27.75,27.20,2.98M
30,"Jul 09, 2019",27.00,27.50,27.50,27.00,10.08M
31,"Jul 08, 2019",27.55,28.00,28.00,27.20,2.56M
32,"Jul 05, 2019",27.85,30.00,30.00,27.55,14.25M
33,"Jul 04, 2019",27.75,28.20,28.20,27.45,3.64M
34,"Jul 03, 2019",28.15,28.20,28.30,28.00,6.19M
35,"Jul 02, 2019",28.15,28.30,28.30,28.00,7.98M
36,"Jul 01, 2019",28.15,27.70,28.55,27.35,4.83M
37,"Jun 28, 2019",28.10,27.60,28.35,27.60,24.61M
38,"Jun 27, 2019",27.55,27.55,28.00,27.55,5.35M
39,"Jun 26, 2019",27.50,27.45,27.90,27.40,3.24M
40,"Jun 25, 2019",27.45,27.30,28.00,27.30,8.71M
41,"Jun 24, 2019",27.30,27.15,27.35,27.15,4.05M
42,"Jun 21, 2019",27.25,27.50,27.50,27.15,1.21M
43,"Jun 20, 2019",27.15,27.00,27.50,27.00,9.18M
44,"Jun 19, 2019",27.00,27.25,27.30,27.00,18.55M
45,"Jun 18, 2019",27.30,27.50,27.65,27.10,9.91M
46,"Jun 17, 2019",27.25,27.30,27.35,27.10,20.53M
